,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Age,Number of Dependents,Churn Label,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Gender,Married,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
922,0,38,47.39,2,99.55,3734.25,0.0,0,1800.82,5535.07,3474,75,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
923,2,51,17.95,14,69.75,3562.5,0.0,0,915.4499999999999,4477.95,5628,50,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
924,2,4,6.77,3,54.7,235.05,0.0,0,27.08,262.13,3475,36,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
925,1,35,26.09,56,106.9,3756.45,34.47,150,913.15,4785.13,5447,33,3,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
926,0,2,12.96,20,95.1,180.25,0.0,0,25.92,206.17000000000002,4486,76,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
927,5,23,12.88,41,57.75,1282.85,0.0,0,296.24,1579.09,3794,30,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
928,4,49,33.93,27,99.25,4920.8,0.0,0,1662.57,6583.37,4995,23,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
929,0,4,31.57,18,90.65,367.95,0.0,0,126.28,494.23,3559,43,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
930,1,17,9.5,16,81.5,1329.2,0.0,0,161.5,1490.7,3443,70,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
931,0,16,12.92,12,81.0,1312.15,0.0,0,206.72,1518.8700000000001,2335,40,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
932,0,1,32.74,26,55.0,55.0,0.0,0,32.74,87.74000000000001,3809,47,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
933,0,8,7.02,23,43.55,335.4,0.0,10,56.16,401.55999999999995,3266,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
934,1,3,0.0,20,36.45,93.7,0.0,0,0.0,93.7,3766,67,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
935,5,35,24.76,0,25.75,882.55,0.0,0,866.6,1749.15,4194,62,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
936,4,65,41.2,10,104.25,6812.95,0.0,0,2678.0,9490.95,5089,48,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
937,1,61,25.14,13,94.35,5703.0,29.88,0,1533.54,7206.66,4676,55,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
938,0,1,0.0,21,25.05,25.05,0.0,0,0.0,25.05,4842,69,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
939,0,14,18.74,20,75.35,1025.95,0.0,0,262.35999999999996,1288.31,4995,42,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
940,1,1,11.08,13,69.8,69.8,0.0,0,11.08,80.88,2123,34,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
941,0,1,40.49,0,18.85,18.85,0.0,0,40.49,59.34,4132,53,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
942,1,43,0.0,21,55.55,2342.2,0.0,0,0.0,2342.2,2573,70,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
943,0,1,33.41,28,82.3,82.3,0.0,0,33.41,115.71,4278,64,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
944,0,46,32.78,0,21.1,937.1,0.0,0,1507.88,2444.98,4791,42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
945,0,7,21.12,7,69.15,488.65,0.0,0,147.84,636.49,4320,54,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
946,2,10,46.5,4,86.65,856.65,0.0,0,465.0,1321.65,4990,74,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
947,1,37,46.61,26,85.7,3171.15,0.0,0,1724.57,4895.72,4712,75,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
948,0,2,39.63,23,79.75,159.4,0.0,10,79.26,248.66000000000003,4038,74,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
949,1,2,7.7,22,70.35,120.25,0.0,20,15.4,155.65,4917,45,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
950,0,37,41.85,2,106.75,4056.75,0.0,0,1548.45,5605.2,5849,77,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
951,0,5,1.49,51,90.8,455.5,0.0,0,7.45,462.95,5090,25,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
952,4,70,39.78,52,80.4,5717.85,0.0,0,2784.6,8502.45,6367,28,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
953,0,18,1.42,0,19.65,411.25,0.0,0,25.56,436.81,4695,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
954,1,12,48.5,4,101.35,1218.55,0.0,0,582.0,1800.55,3967,66,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
955,0,69,3.24,26,81.5,5553.25,0.0,0,223.56,5776.81,5286,46,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
956,0,52,38.93,8,49.75,2535.55,0.0,0,2024.36,4559.91,6334,33,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
957,0,22,32.75,24,59.05,1253.5,0.0,0,720.5,1974.0,3995,33,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
958,0,35,35.1,29,95.45,3474.05,0.0,80,1228.5,4782.55,2080,70,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
959,1,17,19.19,22,89.4,1539.45,0.0,0,326.23,1865.68,2544,54,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
960,0,1,27.05,23,70.85,70.85,0.0,0,27.05,97.89999999999999,2874,51,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
961,1,63,0.0,5,59.0,3707.6,0.0,0,0.0,3707.6,5639,36,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
962,0,1,45.8,10,69.6,69.6,0.0,0,45.8,115.39999999999999,2151,68,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
963,0,66,9.9,25,110.9,7432.05,0.0,0,653.4,8085.45,4389,69,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
964,0,27,1.31,53,56.15,1439.35,0.0,0,35.370000000000005,1474.7199999999998,3056,29,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
965,0,29,15.06,0,19.4,554.25,0.0,0,436.74,990.99,2265,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
966,0,1,18.37,13,78.45,78.45,0.0,0,18.37,96.82000000000001,2139,65,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
967,0,50,20.88,13,105.95,5341.8,0.0,0,1044.0,6385.8,5536,37,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
968,0,22,29.54,53,89.1,1949.4,0.0,0,649.88,2599.28,4459,42,3,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
969,8,17,44.9,47,74.55,1215.8,0.0,0,763.3,1979.1,4451,22,2,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
970,8,71,14.86,0,19.7,1301.1,0.0,0,1055.06,2356.16,4808,53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
971,0,38,5.75,30,70.15,2497.35,0.0,0,218.5,2715.85,2645,73,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
972,0,16,39.52,17,78.75,1218.25,0.0,0,632.32,1850.5700000000002,4351,68,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
973,0,1,33.58,0,20.15,20.15,0.0,0,33.58,53.73,4832,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
974,0,1,4.41,30,44.1,44.1,0.0,0,4.41,48.510000000000005,5955,31,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
975,4,23,35.86,0,25.1,611.45,0.0,0,824.78,1436.23,2267,47,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
976,0,51,19.49,11,97.8,4913.3,0.0,0,993.9899999999999,5907.29,6204,70,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
977,1,61,35.11,17,104.4,6405.0,0.0,0,2141.71,8546.71,4412,77,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
978,3,67,2.67,25,105.4,7035.6,0.0,0,178.89,7214.490000000001,5703,70,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
979,1,47,31.35,16,99.35,4749.15,0.0,0,1473.45,6222.599999999999,5789,61,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
980,0,8,35.53,5,45.15,438.4,0.0,0,284.24,722.64,3721,59,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
981,1,10,32.07,22,102.1,1068.85,0.0,0,320.7,1389.55,3596,31,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
982,0,5,41.83,25,83.15,446.05,0.0,0,209.14999999999998,655.2,2516,68,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
983,0,5,12.6,58,69.7,316.9,0.0,0,63.0,379.9,2454,56,3,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
984,0,40,8.36,0,20.15,804.85,0.0,0,334.4,1139.25,3915,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
985,9,51,0.0,6,30.05,1529.45,0.0,0,0.0,1529.45,5045,61,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
986,1,61,21.96,2,96.5,5673.7,0.0,0,1339.56,7013.26,5926,46,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
987,0,2,23.46,25,75.45,158.4,0.0,0,46.92,205.32,3350,77,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
988,0,9,13.86,76,74.25,639.65,0.0,0,124.74,764.39,5393,23,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
989,0,10,48.38,42,79.85,887.35,0.0,0,483.8,1371.15,5983,29,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
990,9,6,38.5,20,69.8,377.85,0.0,0,231.0,608.85,2651,48,3,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
991,0,13,0.0,28,29.15,357.15,0.0,0,0.0,357.15,2876,33,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
992,0,2,25.74,6,54.85,104.2,0.0,0,51.48,155.68,3016,73,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
993,0,1,25.77,5,49.05,49.05,0.0,0,25.77,74.82,3178,39,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
994,0,51,0.0,24,56.4,2928.5,0.0,0,0.0,2928.5,4380,52,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
995,2,23,24.22,0,20.0,445.3,0.0,0,557.06,1002.3599999999999,2170,64,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
996,0,19,36.16,0,20.85,467.5,0.0,0,687.04,1154.54,2654,62,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
997,1,1,4.89,11,95.1,95.1,0.0,0,4.89,99.99,5795,71,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
998,0,46,2.03,7,55.65,2688.85,0.0,0,93.38,2782.23,2867,50,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
999,0,45,37.39,30,81.65,3618.7,0.0,0,1682.55,5301.25,5937,57,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
1000,0,12,34.73,6,89.15,1057.55,0.0,70,416.76,1544.31,4041,52,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1001,0,11,0.0,17,36.05,402.6,0.0,100,0.0,502.6,4265,54,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1002,1,53,7.94,6,101.9,5549.4,0.0,0,420.82,5970.219999999999,5884,69,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1003,0,21,12.76,48,82.35,1852.85,0.0,0,267.96,2120.81,2902,25,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1004,0,32,0.0,18,30.15,927.65,0.0,0,0.0,927.65,3585,60,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1005,0,20,31.02,0,19.4,415.4,0.0,0,620.4,1035.8,4958,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
1006,0,11,10.95,29,89.2,990.3,0.0,0,120.44999999999999,1110.75,3734,60,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1007,1,51,22.14,30,93.8,4750.95,0.0,0,1129.14,5880.09,4788,80,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1008,0,72,28.99,0,25.0,1802.55,28.93,0,2087.2799999999997,3860.8999999999996,4055,77,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1009,1,4,39.89,0,20.85,62.9,0.0,0,159.56,222.46,3172,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1010,5,67,17.4,11,93.15,6368.2,0.0,90,1165.8,7624.0,4001,42,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1011,0,24,18.07,52,89.55,2259.35,0.0,0,433.68,2693.0299999999997,5352,21,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1012,0,72,6.03,2,104.15,7689.95,0.0,0,434.16,8124.11,5925,66,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1013,2,42,35.38,7,105.2,4599.15,40.46,0,1485.96,6044.65,5573,79,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1014,0,6,0.0,14,30.5,208.7,0.0,0,0.0,208.7,4667,47,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1015,0,43,25.53,0,25.7,1188.2,0.0,0,1097.79,2285.99,2017,42,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1016,0,10,3.01,0,24.0,226.55,0.0,0,30.099999999999998,256.65000000000003,5299,35,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
1017,0,5,4.59,11,91.4,449.75,0.0,0,22.95,472.7,2834,79,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1018,0,53,6.54,4,73.9,3958.25,0.0,0,346.62,4304.87,5644,35,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1019,6,72,43.91,0,20.5,1502.25,0.0,0,3161.5199999999995,4663.7699999999995,6302,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1020,0,5,29.75,6,75.65,399.45,0.0,0,148.75,548.2,2296,62,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1021,10,31,9.56,0,20.65,702.05,43.76,0,296.36,954.65,2990,31,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1022,0,1,28.49,18,75.35,75.35,0.0,0,28.49,103.83999999999999,4403,80,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1023,5,6,42.08,29,91.0,531.0,0.0,0,252.48,783.48,2283,39,2,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1024,5,71,22.36,0,19.7,1415.85,0.0,0,1587.56,3003.41,5921,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1025,0,28,0.0,48,30.1,810.85,0.0,0,0.0,810.85,2653,29,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1026,0,70,23.15,17,111.15,7737.55,46.26,0,1620.5,9311.79,4240,63,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1027,0,11,4.1,5,84.8,906.85,0.0,0,45.099999999999994,951.95,5118,78,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1028,0,4,29.4,17,70.15,268.35,21.69,0,117.6,364.26,2227,39,2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1029,1,41,23.95,0,19.7,804.25,0.0,0,981.9499999999999,1786.1999999999998,2902,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1030,0,26,0.0,19,45.8,1147.0,0.0,0,0.0,1147.0,3287,51,2,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1031,1,8,42.67,0,19.05,201.7,0.0,0,341.36,543.06,3153,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1032,1,50,31.56,4,95.05,4888.7,0.0,50,1578.0,6516.7,5863,67,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1033,1,36,31.65,15,84.1,3021.6,0.0,0,1139.3999999999999,4161.0,2987,71,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1034,3,71,32.13,0,24.75,1836.9,0.0,0,2281.23,4118.13,4642,55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1035,6,72,43.12,22,70.65,5011.15,0.0,0,3104.64,8115.789999999999,5176,59,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1036,1,8,13.43,0,19.6,125.0,0.0,0,107.44,232.44,3214,54,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
1037,0,5,18.69,28,50.35,237.25,0.0,0,93.45,330.7,4618,73,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1038,8,1,44.69,0,20.2,20.2,0.0,0,44.69,64.89,4160,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1039,6,43,21.08,14,86.45,3574.5,0.0,0,906.4399999999999,4480.94,3110,64,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1040,1,53,18.0,20,108.95,5718.2,0.0,0,954.0,6672.2,4163,36,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1041,0,35,42.8,0,20.2,684.4,0.0,0,1498.0,2182.4,3481,64,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1042,0,9,10.66,15,99.45,919.4,0.0,0,95.94,1015.3399999999999,2313,67,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1043,0,68,5.3,59,54.45,3687.75,0.0,0,360.4,4048.15,5310,24,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1044,0,51,29.87,0,19.85,996.95,0.0,0,1523.3700000000001,2520.32,5089,61,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
1045,9,68,8.88,17,105.75,7322.5,0.0,0,603.84,7926.34,4437,56,2,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1046,2,4,0.0,13,29.05,129.6,0.0,0,0.0,129.6,3306,40,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1047,0,2,9.55,28,70.2,115.95,0.0,0,19.1,135.05,2767,75,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1048,0,1,11.06,58,45.1,45.1,0.0,0,11.06,56.160000000000004,4884,27,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1049,0,35,38.38,82,61.2,2021.2,0.0,0,1343.3000000000002,3364.5,2075,24,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
